"list_name","name","label::English","label::Portuguese","label::Swahili","Country","Region","District","Ward","Village","Hamlet","code"
"Region","Other","Other","Outro","Nyingine","Mozambique","NA","NA","NA","NA","NA","NA"
"Region","Zambezia","Zambezia","Zambezia","Zambezia","Mozambique","NA","NA","NA","NA","NA","NA"
"Region","Other","Other","Outro","Nyingine","Tanzania","NA","NA","NA","NA","NA","NA"
"Region","Pwani","Pwani","Pwani","Pwani","Tanzania","NA","NA","NA","NA","NA","NA"
"Region","Other","Other","Outro","Nyingine","Other","NA","NA","NA","NA","NA","NA"
"District","Other","Other","Outro","Nyingine","Mozambique","Other","NA","NA","NA","NA","NA"
"District","Mopeia","Mopeia","Mopeia","Mopeia","Mozambique","Zambezia","NA","NA","NA","NA","NA"
"District","Other","Other","Outro","Nyingine","Mozambique","Zambezia","NA","NA","NA","NA","NA"
"District","Other","Other","Outro","Nyingine","Tanzania","Other","NA","NA","NA","NA","NA"
"District","Kibiti DC","Kibiti DC","Kibiti DC","Kibiti DC","Tanzania","Pwani","NA","NA","NA","NA","NA"
"District","Rufiji DC","Rufiji DC","Rufiji DC","Rufiji DC","Tanzania","Pwani","NA","NA","NA","NA","NA"
"District","Other","Other","Outro","Nyingine","Tanzania","Pwani","NA","NA","NA","NA","NA"
"District","Other","Other","Outro","Nyingine","Other","Other","NA","NA","NA","NA","NA"
"Ward","Other","Other","Outro","Nyingine","Mozambique","Other","Other","NA","NA","NA","NA"
"Ward","Campo | Campo sede","Campo | Campo sede","Campo | Campo sede","Campo | Campo sede","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Campo | Catale","Campo | Catale","Campo | Catale","Campo | Catale","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Campo | Luala","Campo | Luala","Campo | Luala","Campo | Luala","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Campo | Mungane","Campo | Mungane","Campo | Mungane","Campo | Mungane","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Mopeia sede | Cuacua","Mopeia sede | Cuacua","Mopeia sede | Cuacua","Mopeia sede | Cuacua","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Mopeia sede | Nzanza","Mopeia sede | Nzanza","Mopeia sede | Nzanza","Mopeia sede | Nzanza","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Mopeia sede | Rovuma/Conho","Mopeia sede | Rovuma/Conho","Mopeia sede | Rovuma/Conho","Mopeia sede | Rovuma/Conho","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Mopeia sede | Sambalendo","Mopeia sede | Sambalendo","Mopeia sede | Sambalendo","Mopeia sede | Sambalendo","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Other","Other","Outro","Nyingine","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"Ward","Other","Other","Outro","Nyingine","Mozambique","Zambezia","Other","NA","NA","NA","NA"
"Ward","Other","Other","Outro","Nyingine","Tanzania","Other","Other","NA","NA","NA","NA"
"Ward","Bungu","Bungu","Bungu","Bungu","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Dimani","Dimani","Dimani","Dimani","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Kibiti","Kibiti","Kibiti","Kibiti","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Kiongoroni","Kiongoroni","Kiongoroni","Kiongoroni","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mahege","Mahege","Mahege","Mahege","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Maparoni","Maparoni","Maparoni","Maparoni","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mbuchi","Mbuchi","Mbuchi","Mbuchi","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mchukwi","Mchukwi","Mchukwi","Mchukwi","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mjawa","Mjawa","Mjawa","Mjawa","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mlanzi","Mlanzi","Mlanzi","Mlanzi","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Msala","Msala","Msala","Msala","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mtawanya","Mtawanya","Mtawanya","Mtawanya","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mtunda","Mtunda","Mtunda","Mtunda","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Mwambao","Mwambao","Mwambao","Mwambao","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"Ward","Ruaruke","Ruaruke","Ruaruke","Ruaruke","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
