"list_name","name","label::English","label::Portuguese","label::Swahili","country","region","district","ward","village","hamlet","code"
"region","Zambezia","Zambezia","Zambezia","Zambezia","Mozambique","NA","NA","NA","NA","NA","NA"
"region","Pwani","Pwani","Pwani","Pwani","Tanzania","NA","NA","NA","NA","NA","NA"
"district","Mopeia","Mopeia","Mopeia","Mopeia","Mozambique","Zambezia","NA","NA","NA","NA","NA"
"district","Kibiti DC","Kibiti DC","Kibiti DC","Kibiti DC","Tanzania","Pwani","NA","NA","NA","NA","NA"
"district","Rufiji DC","Rufiji DC","Rufiji DC","Rufiji DC","Tanzania","Pwani","NA","NA","NA","NA","NA"
"ward","Campo | Campo sede","Campo | Campo sede","Campo | Campo sede","Campo | Campo sede","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Campo | Catale","Campo | Catale","Campo | Catale","Campo | Catale","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Campo | Luala","Campo | Luala","Campo | Luala","Campo | Luala","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Campo | Mungane","Campo | Mungane","Campo | Mungane","Campo | Mungane","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Mopeia sede | Cuacua","Mopeia sede | Cuacua","Mopeia sede | Cuacua","Mopeia sede | Cuacua","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Mopeia sede | Nzanza","Mopeia sede | Nzanza","Mopeia sede | Nzanza","Mopeia sede | Nzanza","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Mopeia sede | Rovuma/Conho","Mopeia sede | Rovuma/Conho","Mopeia sede | Rovuma/Conho","Mopeia sede | Rovuma/Conho","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Mopeia sede | Sambalendo","Mopeia sede | Sambalendo","Mopeia sede | Sambalendo","Mopeia sede | Sambalendo","Mozambique","Zambezia","Mopeia","NA","NA","NA","NA"
"ward","Bungu","Bungu","Bungu","Bungu","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"ward","Dimani","Dimani","Dimani","Dimani","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"ward","Kibiti","Kibiti","Kibiti","Kibiti","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
"ward","Kiongoroni","Kiongoroni","Kiongoroni","Kiongoroni","Tanzania","Pwani","Kibiti DC","NA","NA","NA","NA"
