extId,Country,District,Ward,Village,Hamlet
MOZ,Mozambique,NA,NA,NA,NA
TAN,Tanzania,NA,NA,NA,NA
MOP,Mozambique,Mopeia,NA,NA,NA
KIB,Tanzania,Kibiti,NA,NA,NA
RUF,Tanzania,Rufiji DC,NA,NA,NA
MOD,Mozambique,Mopeia,Mopeia Sede,NA,NA
POS,Mozambique,Mopeia,Posto Campo,NA,NA
SAM,Mozambique,Mopeia,Sambalendo,NA,NA
KIT,Tanzania,Kibiti,Kibiti,NA,NA
BUN,Tanzania,Rufiji DC,Bungu,NA,NA
CHE,Tanzania,Rufiji DC,Chemchem,NA,NA
CHU,Tanzania,Rufiji DC,Chumbi,NA,NA
DIM,Tanzania,Rufiji DC,Dimani,NA,NA
IKW,Tanzania,Rufiji DC,Ikwiriri,NA,NA
KIO,Tanzania,Rufiji DC,Kiongoroni,NA,NA
KIP,Tanzania,Rufiji DC,Kipugira,NA,NA
MAH,Tanzania,Rufiji DC,Mahege,NA,NA
MAP,Tanzania,Rufiji DC,Maparoni,NA,NA
MBU,Tanzania,Rufiji DC,Mbuchi,NA,NA
MBW,Tanzania,Rufiji DC,Mbwara,NA,NA
MCH,Tanzania,Rufiji DC,Mchukwi,NA,NA
MGO,Tanzania,Rufiji DC,Mgomba,NA,NA
MJA,Tanzania,Rufiji DC,Mjawa,NA,NA
MKO,Tanzania,Rufiji DC,Mkongo,NA,NA
MLA,Tanzania,Rufiji DC,Mlanzi,NA,NA
MOH,Tanzania,Rufiji DC,Mohoro,NA,NA
MSA,Tanzania,Rufiji DC,Msala,NA,NA
MTA,Tanzania,Rufiji DC,Mtawanya,NA,NA
MTU,Tanzania,Rufiji DC,Mtunda,NA,NA
MWA,Tanzania,Rufiji DC,Mwambao,NA,NA
MWW,Tanzania,Rufiji DC,Mwaseni,NA,NA
NGA,Tanzania,Rufiji DC,Ngarambe,NA,NA
NGO,Tanzania,Rufiji DC,Ngorongo,NA,NA
RUA,Tanzania,Rufiji DC,Ruaruke,NA,NA
SAL,Tanzania,Rufiji DC,Salale,NA,NA
UMW,Tanzania,Rufiji DC,Umwe,NA,NA
UTE,Tanzania,Rufiji DC,Utete,NA,NA
MO ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,NA
ROV,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,NA
CAM,Mozambique,Mopeia,Posto Campo,Campo Sede,NA
CAT,Mozambique,Mopeia,Posto Campo,Catale,NA
LUA,Mozambique,Mopeia,Posto Campo,Luala,NA
MUN,Mozambique,Mopeia,Posto Campo,Mungane,NA
CHI,Mozambique,Mopeia,Sambalendo,Chimuara,NA
