_element_key,_element_name,_element_type,_list_child_element_keys
any_snake_bite,any_snake_bite,string,[]
any_snake_bite_num,any_snake_bite_num,integer,[]
cattle_disease_30_days,cattle_disease_30_days,array,"[""cattle_disease_30_days_items""]"
cattle_disease_30_days_items,items,string,[]
cattle_dry_season_geopoint,cattle_dry_season_geopoint,geopoint,"[""cattle_dry_season_geopoint_accuracy"",""cattle_dry_season_geopoint_altitude"",""cattle_dry_season_geopoint_latitude"",""cattle_dry_season_geopoint_longitude""]"
cattle_dry_season_geopoint_accuracy,accuracy,number,[]
cattle_dry_season_geopoint_altitude,altitude,number,[]
cattle_dry_season_geopoint_latitude,latitude,number,[]
cattle_dry_season_geopoint_longitude,longitude,number,[]
cattle_ivermectin,cattle_ivermectin,string,[]
cattle_ivermectin_responsible,cattle_ivermectin_responsible,string,[]
cattle_milk,cattle_milk,string,[]
cattle_milk_months,cattle_milk_months,array,"[""cattle_milk_months_items""]"
cattle_milk_months_items,items,string,[]
cattle_past_12_months,cattle_past_12_months,string,[]
cattle_slaughter,cattle_slaughter,string,[]
cattle_slaughter_month,cattle_slaughter_month,array,"[""cattle_slaughter_month_items""]"
cattle_slaughter_month_items,items,string,[]
cattle_wet_season_geopoint,cattle_wet_season_geopoint,geopoint,"[""cattle_wet_season_geopoint_accuracy"",""cattle_wet_season_geopoint_altitude"",""cattle_wet_season_geopoint_latitude"",""cattle_wet_season_geopoint_longitude""]"
cattle_wet_season_geopoint_accuracy,accuracy,number,[]
cattle_wet_season_geopoint_altitude,altitude,number,[]
cattle_wet_season_geopoint_latitude,latitude,number,[]
cattle_wet_season_geopoint_longitude,longitude,number,[]
contact_for_project,contact_for_project,string,[]
cook_energy,cook_energy,string,[]
cook_energy_other,cook_energy_other,string,[]
cook_location,cook_location,string,[]
cook_main_water_source,cook_main_water_source,string,[]
cook_time_to_water,cook_time_to_water,string,[]
distance_cattle_dry_season,distance_cattle_dry_season,string,[]
distance_cattle_rainy_season,distance_cattle_rainy_season,string,[]
distance_pigs_dry_season,distance_pigs_dry_season,string,[]
distance_pigs_rainy_season,distance_pigs_rainy_season,string,[]
fw_id,fw_id,string,[]
health_facility_formal_non_severe_other,health_facility_formal_non_severe_other,string,[]
health_facility_formal_sick,health_facility_formal_sick,string,[]
hh_answer_questions,hh_answer_questions,string,[]
hh_cattle_coming_year,hh_cattle_coming_year,string,[]
hh_consent_who_signed,hh_consent_who_signed,string,[]
hh_contact,hh_contact,string,[]
hh_contact_alt,hh_contact_alt,string,[]
hh_contact_alt_2,hh_contact_alt_2,string,[]
hh_contact_alt_2_num,hh_contact_alt_2_num,integer,[]
hh_contact_alt_no,hh_contact_alt_no,string,[]
hh_contact_no,hh_contact_no,string,[]
hh_country,hh_country,string,[]
hh_have_latrine,hh_have_latrine,string,[]
hh_head_new_select,hh_head_new_select,string,[]
hh_head_sub_new_select,hh_head_sub_new_select,string,[]
hh_how_many_latrines,hh_how_many_latrines,integer,[]
hh_id,hh_id,string,[]
hh_minicenced,hh_minicenced,string,[]
hh_minicenced_members_correct,hh_minicenced_members_correct,string,[]
hh_n_cows_adult_female,hh_n_cows_adult_female,integer,[]
hh_n_cows_adult_male,hh_n_cows_adult_male,integer,[]
hh_n_cows_under_1_year,hh_n_cows_under_1_year,integer,[]
hh_n_pigs_greater_than_6_weeks,hh_n_pigs_greater_than_6_weeks,integer,[]
hh_n_pigs_less_than_6_weeks,hh_n_pigs_less_than_6_weeks,integer,[]
hh_no_latrine_defecate_near_water,hh_no_latrine_defecate_near_water,string,[]
hh_no_latrine_where_defecate,hh_no_latrine_where_defecate,string,[]
hh_no_latrine_where_defecate_other,hh_no_latrine_where_defecate_other,string,[]
hh_num_nets,hh_num_nets,integer,[]
hh_owns_livestock,hh_owns_livestock,array,"[""hh_owns_livestock_items""]"
hh_owns_livestock_items,items,string,[]
hh_pigs_coming_year,hh_pigs_coming_year,string,[]
hh_possessions,hh_possessions,array,"[""hh_possessions_items""]"
hh_possessions_items,items,string,[]
hh_roster_not_correct,hh_roster_not_correct,array,"[""hh_roster_not_correct_items""]"
hh_roster_not_correct_items,items,string,[]
hh_spray,hh_spray,string,[]
