list_name,name,label::Portuguese,label::Swahili,country,region,district,ward,village,hamlet,code
hamlet,25 de Setembro,25 de Setembro,25 de Setembro,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,25 de Setembro,VDX
hamlet,3 de Fevereiro,3 de Fevereiro,3 de Fevereiro,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,3 de Fevereiro,TDX
hamlet,4 de Outubro sede,4 de Outubro sede,4 de Outubro sede,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,4 de Outubro sede,FDX
hamlet,Acordos de Lusaka,Acordos de Lusaka,Acordos de Lusaka,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Acordos de Lusaka,ADX
hamlet,Bariela,Bariela,Bariela,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Bariela,BAR
hamlet,Cafe,Cafe,Cafe,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Cafe,CFE
hamlet,Caixote,Caixote,Caixote,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Caixote,CAI
hamlet,Cuerelo A,Cuerelo A,Cuerelo A,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Cuerelo A,CUX
hamlet,Cundine,Cundine,Cundine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Cundine,CUD
hamlet,Filipe Nyusi,Filipe Nyusi,Filipe Nyusi,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Filipe Nyusi,FNX
hamlet,Jorissa,Jorissa,Jorissa,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Jorissa,JOR
hamlet,Mucombezi velho,Mucombezi velho,Mucombezi velho,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Mucombezi velho,MVX
hamlet,Mussampnia,Mussampnia,Mussampnia,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Mussampnia,MSX
hamlet,Ntxenga,Ntxenga,Ntxenga,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Ntxenga,NTX
hamlet,Pempe,Pempe,Pempe,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Pempe,PMP
hamlet,Sololo,Sololo,Sololo,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Sololo,SOL
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mongana,Outro,NA
hamlet,Arvai,Arvai,Arvai,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Arvai,XAR
hamlet,Bantene,Bantene,Bantene,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Bantene,XBA
hamlet,Batelao,Batelao,Batelao,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Batelao,BAT
hamlet,Chimindwe,Chimindwe,Chimindwe,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Chimindwe,XHC
hamlet,Danhau,Danhau,Danhau,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Danhau,DAH
hamlet,Gamba-Draban,Gamba-Draban,Gamba-Draban,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Gamba-Draban,XGA
hamlet,Gonda,Gonda,Gonda,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Gonda,GON
hamlet,Junca,Junca,Junca,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Junca,XJU
hamlet,Lhendha,Lhendha,Lhendha,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Lhendha,XLH
hamlet,Maliganpase,Maliganpase,Maliganpase,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Maliganpase,XMA
hamlet,Mugurrumba Sede,Mugurrumba Sede,Mugurrumba Sede,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Mugurrumba Sede,MUG
hamlet,Nhambade,Nhambade,Nhambade,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Nhambade,XND
hamlet,Nhamicoco,Nhamicoco,Nhamicoco,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Nhamicoco,XNA
hamlet,Nhando,Nhando,Nhando,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Nhando,XNH
hamlet,Nhanga,Nhanga,Nhanga,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Nhanga,XGN
hamlet,Nsando,Nsando,Nsando,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Nsando,NSN
hamlet,Prego,Prego,Prego,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Prego,XPR
hamlet,Tonganhica,Tonganhica,Tonganhica,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Tonganhica,XTO
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Mugurrumba,Outro,NA
hamlet,Sacuane,Sacuane,Sacuane,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Sacuane,Sacuane,SAC
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Sacuane,Outro,NA
hamlet,Calongola,Calongola,Calongola,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,Calongola,XCA
hamlet,China,China,China,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,China,XCH
hamlet,Dula,Dula,Dula,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,Dula,XDU
hamlet,Ngunguline,Ngunguline,Ngunguline,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,Ngunguline,XNG
hamlet,Nolie,Nolie,Nolie,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,Nolie,XNO
hamlet,Txicalo,Txicalo,Txicalo,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,Txicalo,XTX
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Samurrenge,Outro,NA
hamlet,1 de Maio,1 de Maio,1 de Maio,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,1 de Maio,MMX
hamlet,19 de Outubro,19 de Outubro,19 de Outubro,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,19 de Outubro,DNX
hamlet,25 de Junho,25 de Junho,25 de Junho,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,25 de Junho,JJX
hamlet,4 de Outubro,4 de Outubro,4 de Outubro,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,4 de Outubro,DDX
hamlet,7 de abril,7 de abril,7 de abril,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,7 de abril,ZZE
hamlet,7 de Setembro,7 de Setembro,7 de Setembro,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,7 de Setembro,SDS
hamlet,8 de Marco,8 de Marco,8 de Marco,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,8 de Marco,DDD
hamlet,Armando E Guebuza,Armando E Guebuza,Armando E Guebuza,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Armando E Guebuza,AEX
hamlet,Assiate,Assiate,Assiate,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Assiate,ASS
hamlet,Bajone,Bajone,Bajone,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Bajone,BAJ
hamlet,Eduardo Mondlane,Eduardo Mondlane,Eduardo Mondlane,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Eduardo Mondlane,EEX
hamlet,Filipe Nyusi,Filipe Nyusi,Filipe Nyusi,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Filipe Nyusi,FYX
hamlet,Joaquim Chissano,Joaquim Chissano,Joaquim Chissano,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Joaquim Chissano,JCX
hamlet,Josina Machel,Josina Machel,Josina Machel,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Josina Machel,JSG
hamlet,LiconJe,LiconJe,LiconJe,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,LiconJe,LJX
hamlet,Maina,Maina,Maina,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Maina,MAI
hamlet,Milange,Milange,Milange,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Milange,MIL
hamlet,Namitala,Namitala,Namitala,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Namitala,NAM
hamlet,Nhungulo,Nhungulo,Nhungulo,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Nhungulo,XNZ
hamlet,Paz,Paz,Paz,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Paz,PZS
hamlet,Samaral,Samaral,Samaral,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Samaral,SAA
hamlet,Samora Machel,Samora Machel,Samora Machel,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Samora Machel,XSA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Zuze,Outro,NA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Campo sede,Other,Outro,NA
hamlet,1 de Maio,1 de Maio,1 de Maio,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,1 de Maio,XMO
hamlet,25 de Junho,25 de Junho,25 de Junho,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,25 de Junho,XJN
hamlet,25 de Setembro,25 de Setembro,25 de Setembro,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,25 de Setembro,XSE
hamlet,4 de Outubro,4 de Outubro,4 de Outubro,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,4 de Outubro,XOU
hamlet,7 de Abril,7 de Abril,7 de Abril,Mozambique,Zambezia,Mopeia,Campo | Catale,Catale,7 de Abril,XAB
