name,label,country
Ndingo,Ndingo HF,Mozambique
Nzanza,Nzanza HF,Mozambique
Noere,Noere HF,Mozambique
Nhacatundo,Nhacatundo HF,Mozambique
Chimuara,Chimuara HF,Mozambique
Gulamo,Gulamo HF,Mozambique
Mopeia Sede,Mopeia Sede HF,Mozambique
Sangalaza,Sangalaza HF,Mozambique
Catale,Catale HF,Mozambique
Luala,Luala HF,Mozambique
Mungane,Mungane HF,Mozambique
Posto Campo,Posto Campo HF,Mozambique
8 de Marco,8 de Marco HF,Mozambique
Vinte,Vinte HF,Mozambique
Arafa Ikwiriri,Arafa Ikwiriri,Tanzania
Arafa Jaribu,Arafa Jaribu,Tanzania
Bamita,Bamita,Tanzania
Bumba,Bumba,Tanzania
Bungu,Bungu,Tanzania
Chumbi,Chumbi,Tanzania
Faraja,Faraja,Tanzania
Hanga,Hanga,Tanzania
Ikwiriri,Ikwiriri,Tanzania
Ikwiriri Mission,Ikwiriri Mission,Tanzania
Imam mahdi,Imam mahdi,Tanzania
Jaja,Jaja,Tanzania
Jaribu Mpakani,Jaribu Mpakani,Tanzania
Kiasi,Kiasi,Tanzania
Kibiti,Kibiti,Tanzania
Kiechuru,Kiechuru,Tanzania
Kigunguli,Kigunguli,Tanzania
Kikale,Kikale,Tanzania
Kilimani,Kilimani,Tanzania
Kilulatambwe,Kilulatambwe,Tanzania
Kimbuga,Kimbuga,Tanzania
Kindwitwi,Kindwitwi,Tanzania
Kingupira,Kingupira,Tanzania
Kiomboni,Kiomboni,Tanzania
Kiongoroni,Kiongoroni,Tanzania
Kipo,Kipo,Tanzania
Kipugira,Kipugira,Tanzania
Kitapi,Kitapi,Tanzania
Kivinja A,Kivinja A,Tanzania
Kivinja B,Kivinja B,Tanzania
Kiwanga,Kiwanga,Tanzania
Machipi,Machipi,Tanzania
Mahege,Mahege,Tanzania
Mandu,Mandu,Tanzania
Maparoni,Maparoni,Tanzania
Mariam Consolatha,Mariam Consolatha,Tanzania
Mbambe,Mbambe,Tanzania
Mbuchi,Mbuchi,Tanzania
Mbunjumvuleni,Mbunjumvuleni,Tanzania
Mbwara,Mbwara,Tanzania
Mbwera,Mbwera,Tanzania
Mchinga,Mchinga,Tanzania
Mchukwi,Mchukwi,Tanzania
Mchukwi Mission,Mchukwi Mission,Tanzania
Mchungu,Mchungu,Tanzania
Mfisini,Mfisini,Tanzania
MICO,MICO,Tanzania
Miwaga,Miwaga,Tanzania
Mkenda,Mkenda,Tanzania
Mkongo,Mkongo,Tanzania
Mkupuka,Mkupuka,Tanzania
Mlanzi,Mlanzi,Tanzania
Mng'aru,Mng'aru,Tanzania
Mng'aru Prison,Mng'aru Prison,Tanzania
Mohoro,Mohoro,Tanzania
Msala,Msala,Tanzania
Msindaji,Msindaji,Tanzania
Mtanga Delta,Mtanga Delta,Tanzania
Mtanza,Mtanza,Tanzania
Mtawanya,Mtawanya,Tanzania
Mtunda,Mtunda,Tanzania
Muyuyu,Muyuyu,Tanzania
Mwaseni,Mwaseni,Tanzania
Nambunju,Nambunju,Tanzania
Ndundunyikanza,Ndundunyikanza,Tanzania
Ndundutawa,Ndundutawa,Tanzania
Ngarambe,Ngarambe,Tanzania
Ngorongo,Ngorongo,Tanzania
Ngulakula,Ngulakula,Tanzania
Nyakinyo,Nyakinyo,Tanzania
Nyamatanga,Nyamatanga,Tanzania
Nyambili,Nyambili,Tanzania
Nyambunda,Nyambunda,Tanzania
Nyaminywili,Nyaminywili,Tanzania
Nyamisati,Nyamisati,Tanzania
Nyamwage,Nyamwage,Tanzania
Nyamwimbe,Nyamwimbe,Tanzania
Nyanjati,Nyanjati,Tanzania
Pagae,Pagae,Tanzania
Pombwe,Pombwe,Tanzania
Ruaruke,Ruaruke,Tanzania
Rungungu,Rungungu,Tanzania
Ruwe,Ruwe,Tanzania
Salale,Salale,Tanzania
Tapika,Tapika,Tanzania
Tawi,Tawi,Tanzania
Tomoni,Tomoni,Tanzania
Twasalie,Twasalie,Tanzania
Uponda,Uponda,Tanzania
Utete,Utete,Tanzania
Utunge,Utunge,Tanzania
