name,label,country,sw,pt
wood,Wood,Tanzania,Mbao,Madeira
terrazzo,Terrazzo,Tanzania,Terrazo,Parquet
marble,Marble,Tanzania,Marumaru,Mármore 
granite,Granite,Tanzania,Matale,Granito
cement,Cement,Tanzania,Simiti,Cimento
mosaic,Mosaic,Tanzania,Nakshi,Mosaico
tile,Tile,Tanzania,Kigae,Telha
sand,Sand,Tanzania,Mchanga ,Arreia
clay,None,Tanzania,Hakuna,Nenhum
other,Other,Tanzania,Nyingine,Outro
wood,Wood ,Mozambique,Mbao,Madeira
parquet,Parquet,Mozambique,Terrazo,Parquet
marble,Marble,Mozambique,Marumaru,Mármore 
granite,Granite,Mozambique,Mawe ya matale,Granito
cement,Cement,Mozambique,Saruji ,Cimento
mosaic,Mosaic,Mozambique,Vigae vilivotiwa urembo,Mosaico
tile,Tile,Mozambique,Vigae,Cerâmico
adobe,Adobe block,Mozambique,Udongo,Adobe
clay,Clay,Mozambique,Mchanga ,Argila
sand,Sand,Mozambique,Mchanga ,Areia 
none,None,Mozambique,Hakuna,Nenhum
other,Other,Mozambique,Nyingine,Outro
