name,label,country,sw,pt
hit,HIT,Tanzania,HIT,HIT
rungu,Rungu,Tanzania,Rungu,Rungu
personal_repellent,Personal repellent,Tanzania,Viuatilifu vya mwili vya kufukuza mbu,
traditional_methods_such_as_burning_grass/dungs,Traditional methods such as burning grass/dungs,Tanzania,Njia za kitamaduni kama vile kuchoma nyasi/kinyesi cha wanyama,"Métodos tradicionais, como queima"
clearing_grass,Clearing grass,Tanzania,Kufyeka nyasi,Limpeza do mato
outdoors_water_management,Outdoors water management,Tanzania,Udhibiti wa maeneo ya maji ya nje,Gestão da água no exterior
none,None,Tanzania,Hakuna,Nenhum
other,Other,Tanzania,Nyingine,Outro
dk,Don't know,Tanzania,Sijui,Não sabe
baygon,Baygon,Mozambique,Baygon,Baygon
espirais,Espirais,Mozambique,Espirais,Espirais
dragao,Dragao,Mozambique,Dragao,Dragão
personal_repellent,Personal repellent,Mozambique,Viuatilifu vya mwili vya kufukuza mbu,Repelente pessoal
traditional_methods_such_as_burning_grass/dungs,Traditional methods such as burning grass/dungs,Mozambique,Njia za asili kama kuchoma majani/vinyesi vya wanyama,"Métodos tradicionais, como a queima de erva/excrementos animais"
clearing_grass,Clearing grass,Mozambique,Kufyeka nyasi,Limpeza do mato
outdoors_water_management,Outdoors water management,Mozambique,Kudhibiti maeneo yenye maji nje ya nyumba,Gestão da água ao ar livre 
none,None,Mozambique,Hakuna,Nenhum
other,Other,Mozambique,Nyingine,Outro
dk,Don't know,Mozambique,Sijui,Não sabe
