name,label,country
Ndengereko,Ndengereko,Tanzania
Ndingo,Ndingo,Tanzania
Matumbi,Matumbi,Tanzania
Sukuma,Sukuma,Tanzania
Pogoro,Pogoro,Tanzania
Mwera,Mwera,Tanzania
Zaramo,Zaramo,Tanzania
Kwere,Kwere,Tanzania
Ndamba,Ndamba,Tanzania
Waha,Waha,Tanzania
Bitonga,Bitonga,Mozambique
Cibal,Cibal,Mozambique
Cicopi,Cicopi,Mozambique
Cindau,Cindau,Mozambique
Cinsenga,Cinsenga,Mozambique
Cinyanga,Cinyanga,Mozambique
Cinyungwe,Cinyungwe,Mozambique
Ciphimbi,Ciphimbi,Mozambique
Cisena,Cisena,Mozambique
Citswa,Citswa,Mozambique
Echuwabo,Echuwabo,Mozambique
"Ekoti, Elomwe","Ekoti, Elomwe",Mozambique
Emakhuwa,Emakhuwa,Mozambique
Isizulo,Isizulo,Mozambique
Kiswahili,Kiswahili,Mozambique
Portuguese,Portuguese,Mozambique
Shimakonde,Shimakonde,Mozambique
Siswati,Siswati,Mozambique
Xingoni,Xingoni,Mozambique
Xirhonga,Xirhonga,Mozambique
Xitsonga,Xitsonga,Mozambique
Spanish,Spanish,Mozambique
English,Ingl�s,Mozambique
Afrikaans,Afric�ner,Mozambique
