_element_key,_element_name,_element_type,_list_child_element_keys
hh_id,hh_id,string,[]
id,id,string,[]
snake_bite_miss_work_school,snake_bite_miss_work_school,string,[]
snake_bite_miss_work_school_days,snake_bite_miss_work_school_days,integer,[]
snake_bite_months,snake_bite_months,array,"[""snake_bite_months_items""]"
snake_bite_months_items,items,string,[]
snake_bite_num_times,snake_bite_num_times,integer,[]
snake_bite_occur,snake_bite_occur,array,"[""snake_bite_occur_items""]"
snake_bite_occur_items,items,string,[]
snake_bite_occur_other,snake_bite_occur_other,string,[]
snake_bite_outcome,snake_bite_outcome,string,[]
