name,label,country
wood,Wood,Tanzania
terrazzo,Terrazzo,Tanzania
marble,Marble,Tanzania
granite,Granite,Tanzania
cement,Cement,Tanzania
mosaic,Mosaic,Tanzania
tile,Tile,Tanzania
sand,Sand,Tanzania
clay,None,Tanzania
other,Other,Tanzania
wood,Wood ,Mozambique
parquet,Parquet,Mozambique
marble,Marble,Mozambique
granite,Granite,Mozambique
cement,Cement,Mozambique
mosaic,Mosaic,Mozambique
tile,Tile,Mozambique
adobe,Adobe block,Mozambique
clay,Clay,Mozambique
sand,Sand,Mozambique
none,None,Mozambique
other,Other,Mozambique
