name,label,country
hit,HIT,Tanzania
rungu,Rungu,Tanzania
personal_repellent,Personal repellent,Tanzania
traditional_methods_such_as_burning_grass/dungs,Traditional methods such as burning grass/dungs,Tanzania
clearing_grass,Clearing grass,Tanzania
outdoors_water_management,Outdoors water management,Tanzania
none,None,Tanzania
other,Other,Tanzania
dk,Don’t know,Tanzania
baygon,Baygon,Mozambique
espirais,Espirais,Mozambique
dragao,Dragao,Mozambique
personal_repellent,Personal repellent,Mozambique
traditional_methods_such_as_burning_grass/dungs,Traditional methods such as burning grass/dungs,Mozambique
clearing_grass,Clearing grass,Mozambique
outdoors_water_management,Outdoors water management,Mozambique
none,None,Mozambique
other,Other,Mozambique
dk,Don’t know,Mozambique
