country,region,district,ward
Mozambique,Zambezia,Mopeia,Campo | Campo sede
Mozambique,Zambezia,Mopeia,Campo | Catale
Mozambique,Zambezia,Mopeia,Campo | Luala
Mozambique,Zambezia,Mopeia,Campo | Mungane
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua
Mozambique,Zambezia,Mopeia,Mopeia sede | Nzanza
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo
Tanzania,Pwani,Kibiti DC,Bungu
Tanzania,Pwani,Kibiti DC,Dimani
Tanzania,Pwani,Kibiti DC,Kibiti
Tanzania,Pwani,Kibiti DC,Kiongoroni
Tanzania,Pwani,Kibiti DC,Mahege
Tanzania,Pwani,Kibiti DC,Maparoni
Tanzania,Pwani,Kibiti DC,Mbuchi
Tanzania,Pwani,Kibiti DC,Mchukwi
Tanzania,Pwani,Kibiti DC,Mjawa
Tanzania,Pwani,Kibiti DC,Mlanzi
Tanzania,Pwani,Kibiti DC,Msala
Tanzania,Pwani,Kibiti DC,Mtawanya
Tanzania,Pwani,Kibiti DC,Mtunda
Tanzania,Pwani,Kibiti DC,Mwambao
Tanzania,Pwani,Kibiti DC,Ruaruke
Tanzania,Pwani,Kibiti DC,Salale
Tanzania,Pwani,Rufiji DC,Chemchem
Tanzania,Pwani,Rufiji DC,Chumbi
Tanzania,Pwani,Rufiji DC,Ikwiriri
Tanzania,Pwani,Rufiji DC,Kipugira
Tanzania,Pwani,Rufiji DC,Mbwara
Tanzania,Pwani,Rufiji DC,Mgomba
Tanzania,Pwani,Rufiji DC,Mkongo
Tanzania,Pwani,Rufiji DC,Mohoro
Tanzania,Pwani,Rufiji DC,Mwaseni
Tanzania,Pwani,Rufiji DC,Ngarambe
Tanzania,Pwani,Rufiji DC,Ngorongo
Tanzania,Pwani,Rufiji DC,Umwe
Tanzania,Pwani,Rufiji DC,Utete
