meta:instanceID,meta:instanceName,Action
uuid:33f84131-4b7c-4092-8ae3-b394eba1e4f4,animalannex-Danhau-2020-07-16,Delete
uuid:006fa536-099a-45e3-94c9-be6e8443e955,animalannex-Samora Machel-2020-07-18,Delete
uuid:b1f2b9c9-1e74-4c9f-870e-685c2bf6edcd,animalannex-Sassune-2020-07-18,Delete
uuid:92c24bfd-1592-48dc-b678-3c25e0fd4a82,animalannex-Ntruzao-2020-07-19,Delete
uuid:5e4ad910-960d-4dac-9fab-d4cc2f0f0581,animalannex-Alfredo-2020-07-19,Delete
uuid:eee9ab3a-f0d9-4902-aad4-801cb5eede44,animalannex-Cumbalenga-2020-07-19,Delete
uuid:c58f3319-4352-491f-9523-10ade02c27b0,animalannex-Lota-2020-07-19,Delete
uuid:5aed2bd6-a95d-4923-8ecf-ba63a0fb76f6,animalannex-Mangala-2020-07-19,Delete
uuid:b977e14c-9597-4eaf-b82e-85e3d72100db,animalannex-Nota-2020-07-19,Delete
uuid:ebf609ba-ee6c-4204-a132-3c25512e91d9,animalannex-Nsando-2020-07-19,Delete
uuid:c8297fbd-8fb7-4a22-a47a-de979fc6866a,animalannex-Batelao-2020-07-19,Delete
uuid:fb8e4fdb-ad5c-4c54-bdf3-f60bcb8d313e,animalannex-Namigonhane-2020-07-18,Delete
uuid:f2515690-0f6c-4246-8a45-e80ca03bad01,animalannex-3 de Fevereiro-2020-07-18,Delete
uuid:0303bf5b-8d3c-47dc-a87d-42dd3b487424,animalannex-Josina Machel-2020-07-18,Delete
uuid:46029e17-fa1e-402b-84a4-f2b8575fece5,animalannex-7 de Setembro-2020-07-18,Delete
uuid:362b4115-9de6-47fb-b84c-d503ca065f2a,animalannex-Sangate-2020-07-18,Delete
uuid:5bc0b7c0-b637-40ba-a0d8-6bb77847990e,animalannex-Somopo-2020-07-18,Delete
uuid:bda6632d-468d-4a7e-bd09-be9c609d25fa,animalannex-Majambe-2020-07-19,Delete
uuid:363838dc-215d-4a14-85f7-f148cd330bb4,animalannex-Nsanzo-2020-07-19,Delete
uuid:6520a4ef-c587-4ece-acf1-58c1a5ba8dca,animalannex-Vumbe-2020-07-19,Delete
uuid:abe5de0a-e96b-4d44-a313-6b62c628c2ab,animalannex-Ambrosio-2020-07-19,Delete
uuid:94a44f3a-9961-4b01-bf45-8dd80e1765ce,animalannex-Magamba-2020-07-19,Delete
uuid:b2887307-f358-4810-b544-04698c71b579,animalannex-Tambalico-2020-07-19,Delete
uuid:31e42022-7d40-425b-ad8e-66ba2270b04e,animalannex-Migoa-2020-07-19,Delete
uuid:c4311060-76ff-4e84-a44d-b6142411515d,animalannex-1 de Junho-2020-07-23,Delete
uuid:bc9bd35c-4be9-4496-b6e2-d0dfca68ad6d,animalannex-Josina Machel-2020-07-24,Delete
uuid:ecf75eaa-c992-4a71-ac7d-19aa9e4d3eda,animalannex-1 de Maio-2020-07-24,Delete
uuid:1c30acb0-8876-4220-8294-cbf323fce7a3,animalannex-Bariela-2020-07-29,Delete
uuid:fcdf54e7-96e4-4b28-96be-0a8903b0a660,animalannex-Bariela-2020-07-29,Delete
uuid:5d9c6b71-1761-4ad2-88b1-4287be394cff,animalannex-Ntxenga-2020-07-29,Delete
uuid:5ea40a63-8e8e-4bdb-bb26-3137ec77b2c9,animalannex-Bariela-2020-07-29,Delete
uuid:ad2a7235-ea99-47af-a7ff-b2c4e19fd326,animalannex-Cundine-2020-07-29,Delete
uuid:1616d05f-5790-425e-ba3a-fad6f55d43cb,animalannex-Nsanze-2020-07-31,Delete
uuid:8927c955-db79-4a59-91ad-a4b9d29f14c0,animalannex-Ntruzao-2020-08-17,Delete
uuid:5e740ef3-d330-4ad7-a64e-a751ed775e76,animalannex-Nhangu-2020-08-17,Delete
uuid:16791d8c-9231-46a2-b022-d6445f8be79d,animalannex-Nhangu-2020-08-17,Delete
uuid:ff687eb2-1081-4412-8200-a1c3e78a1cdb,animalannex-Nhangu-2020-08-17,Delete
uuid:32af0f99-f230-43d4-addc-20942811af1a,animalannex-Nhangu-2020-08-17,Delete
uuid:00b64e2f-29ac-4464-8639-ed0d75fae9e0,animalannex-Chimuara Sede-2020-08-19,Delete
uuid:90572304-0678-4f83-a75a-e8b623d17703,animalannex-Somopo-2020-08-19,Delete
uuid:4bd0fbe8-dc9d-402b-9520-97e9ed9b6fbe,animalannex-Josina Machel-2020-08-24,Delete
uuid:e96ce8f6-21d2-4976-b6dd-dde289327c11,animalannex-7 de Abril-2020-08-24,Delete
uuid:4010d263-f24f-47c3-8ab7-2dda3e98ca0d,animalannex-Mbaua-2020-09-01,Delete
uuid:e7a3fca2-bf5c-4c0f-96b3-0b6f6b729e5f,animalannex-Calongola-2020-09-03,Delete
uuid:4e790bbd-82b9-4f33-80a4-72fbe7b9a632,animalannex-Nolie-2020-09-11,Delete
uuid:c1ccbddf-3261-4e67-b5c0-c05b5f616b02,animalannex-Dula-2020-09-11,Delete
uuid:f4e2d8eb-e669-476c-84fa-8b88ec3f6985,animalannex-Armando Emilio Guebuza-2020-09-09,Delete
